Chinese,Pinyin,Part,Definition,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
干,gān,Adj,dry,这儿的冬天很干，没有那么冷。,"Zhè'er de dōngtiān hěn gān, méiyǒu nàme lěng.",Winter here is dry and not that cold.,这里的空气很干，我觉得不舒服。,"Zhèlǐ de kōngqì hěn gān, wǒ juéde bù shūfu.",The air here is dry and I feel uncomfortable.
讨厌,tǎoyàn,Verb,"to dislike, annoying",我讨厌下雨天，因为去旅游不方便。,"Wǒ tǎoyàn xiàyǔtiān, yīnwèi qù lǚyóu bù fānɡbiàn.","I don’t like rainy day, because traveling on rainy days is inconvenient.",我的弟弟讨厌吃蔬菜，只喜欢吃肉。,"Wǒ de dìdi tǎoyàn chī shūcài, zhǐ xǐhuan chī ròu.","My younger brother doesn’t like to eat vegetables, he only likes to eat meat."
气温,qìwēn,Noun,temperature,今天气温几度?,Jīntiān qìwēn jǐdù?,What’s the temperature today?,今天的气温很舒服，不冷也不热。,"Jīntiān de qìwēn hěn shūfú, bù lěng yě bú rè.","The temperature today is comfortable, it’s not cold or hot."
冬天,dōngtiān,Noun,winter,"冬天的时候常常下雨,出门很麻烦！","Dōngtiān de shíhou chángcháng xià yǔ, chūmén hěn máfan!","It rains often in the winter, to go out is so troublesome!",我讨厌冬天去旅游，因为要带很多衣服。,"Wǒ tǎoyàn dōngtiān qù lǚyóu, yīnwèi yào dài hěnduō yīfu.",I don't like go travel in the winter because I need to bring a lot of clothes.
打伞,dǎ sǎn,Verb Object,to hold up an umbrella,昨天我帮一位老太太打伞。,Zuótiān wǒ bāng yí wèi lǎo tàitài dǎ sǎn.,I helped an old lady hold up an umbrella yesterday.,下雨了！快打伞吧!,Xià yǔ le! Kuài dǎ sǎn ba!,"It’s raining, let’s holding up an umbrella!"
带,dài,Verb,to bring,我带你去附近的海边看看漂亮的风景吧！,Wǒ dài nǐ qù fùjìn de hǎibiān kàn kàn piàoliang de fēngjǐng ba!,Let me bring you to the beach to see the beautiful view.,她有时候会带两个可爱的女儿去公园玩。,Tā yǒushíhou huì dài liǎng gè kěài de nǚér qù gōngyuán wán.,Sometimes she will take her two adorable daughters to the park and play.
欢迎,huānyíng,Phrase,"to welcome, welcome",我们明天要去海边玩，欢迎你一起来！,"Wǒmen míngtiān yào qù hǎibiān wán, huānyíng nǐ yìqǐlái!","We are going to the beach tomorrow, we welcome you to join us.",这是我们的新同学，大家一起来欢迎他！,"Zhè shì wǒmen de xīn tóngxué, dàjiā yìqǐlái huānyíng tā！","This is our new classmate, let’s welcome him!"
搬,bān,Verb,"to move (i.e. relocate oneself), to move (something relatively heavy or bulky)",我爸爸妈妈下个月要搬到博物馆旁边的大楼。,Wǒ bàba māma xià gè yuè yào bān dào bówù guǎn pángbiān de dàlóu.,My parents are going to move next month to the building next to the museum.,你打算什么时候要搬来北京住？,Nǐ dǎsuàn shénme shíhou yào bān lái Běijīng zhù?,When do you plan to move to Beijing?
楼,lóu,Noun,"storied building, floor",请拿这些鸡蛋给住在三楼的美美。,Qǐng ná zhèxiē jīdàn gěi zhù zài sān lóu de Měiměi.,"Please take these eggs to Meimei, who lives in the third floor.",不好意思，请问真真咖啡店在几楼？,"Bù hǎo yìsi, qǐngwèn Zhēnzhēn kāfēi diàn zài jǐ lóu?","Excuse me, which floor is the Zhenzhen coffee shop?"
邻居,línjū,Noun,"neighbor, next door",我的邻居是个中国人，他有两个可爱的女儿。,"Wǒ de línjū shìgè Zhōngguó rén, tā yǒu liǎng gè kěài de nǚér.","My neighbor is a Chinese, he has two adorable daughters.",虽然我的邻居八十岁了，但是他还是每年去旅游。,"Suīrán wǒ de línjū bāshí suì le, dànshì tā háishì měinián qù lǚyóu.","Although my neighbor is eighty years old, he still travels every year."
帮忙,bāngmáng,Verb Object,"to help, to do a favor",虽然我很想帮忙，但是我现在没空。,"Suīrán wǒ hěn xiǎng bāngmáng, dànshì wǒ xiànzài méi kòng.","I really want to help, but I don’t have time now.",这几题好难，我需要你的帮忙。,"Zhè jǐ tí hǎo nán, wǒ xūyào nǐ de bāngmáng.","These question is so hard, I need your help."
花,huā,Noun,flower,我看见山上有很多蓝色的小花。,Wǒ kàn jiàn shānshàng yǒu hěnduō lánsè de xiǎo huā.,I have seen that there are lots of blue flowers on the mountain.,这个商店卖的花最美，但是最贵。,"Zhègè shāngdiàn mài de huā zuìměi, dànshì zuì guì.","The flowers which the shop sells are the most beautiful, but most expensive."
扔,rēng,Verb,"to throw, to throw away",谁扔了冰箱里的鸡蛋？,Shéi rēng le bīngxiāng lǐ de jīdàn?,Who threw away the eggs in the fridge?,因为这些衣服太小了，所以我把他们扔了。,"Yīnwèi zhèxiē yīfu tài xiǎo le, suǒyǐ wǒ bǎ tāmen rēng le.",I threw the clothes away because they were too small.
衣柜,yīguì,Noun,wardrobe,我的衣柜太旧了，我想买一个新的。,"Wǒ de yīguì tài jiù le, wǒ xiǎng mǎi yīgè xīn de.","My wardrobe is too old, I want to buy a new one.",我帮我的邻居搬衣柜。,Wǒ bāng wǒ de línjū bān yīguì.,I helped my neighbor carry his wardrobe.
家具店,jiājù diàn,Noun,furniture store,我听说在地铁站附近有一家不错的家具店。,Wǒ tīngshuō zài dìtiězhàn fùjìn yǒu yì jiā búcuò de jiājù diàn.,I heard that there is a nice furniture store near subway station.,我最喜欢这家家具店，他们的家具质量都很好。,"Wǒ zuì xǐhuan zhè jiā jiājù diàn, tāmen de jiājù zhìliàng dōu hěn hǎo.","I like this furniture store, the furniture here have a good quality ."
床,chuáng,Noun,bed,听说这家家具店卖的床不贵。,Tīngshuō zhè jiā jiājù diàn mài de chuáng bú guì.,I heard that the bed in this furniture store is not expensive.,这张床睡起来很舒服。,Zhè zhāng chuáng shuì qǐlái hěn shūfu.,This bed is comfortable for sleep.
重,zhòng,Adj,heavy,我的衣柜太重了，得请人来帮我搬上去。,"Wǒ de yīguì tài zhòng le, děi qǐng rén lái bāng wǒ bān shàngqù.","My wardrobe is too heavy, so I have to ask someone for help.",这张床太重了，我一个人搬不上去。,"Zhè zhāng chuáng tài zhòng le, wǒ yīgè rén bān bú shàngqù.","This bed is too heavy, I can’t move it up by my own."
需要,xūyào,Noun/Verb,"to need,to demand, to require, requirement",如果你需要我帮忙，什么时候都可以打电话给我。,"Rúguǒ nǐ xūyào wǒ bāngmáng, shénme shíhou dōu kěyǐ dǎdiànhuà gěi wǒ.",You can call me when you need my help.,我需要一个新的衣柜，这个太小了,"Wǒ xūyào yīgè xīn de yīguì, zhège tài xiǎo le.","I need a new wardrobe, this one is too small."
发,fā,Verb,"to text, to send",我妈妈昨天发了一封短信给我。,Wǒ māma zuótiān fā le yīfēng duǎnxìn gěi wǒ.,My mother sent me a text message yesterday.,我很久没给家人发短信了。,Wǒ hěnjiǔ méi gěi jiārén fā duǎnxìn le.,I did not send text messages to my family for a long time.
短信,duǎnxìn,Noun,text message,我最近不方便接电话，你给我发短信吧！,"Wǒ zuìjìn bù fāngbiàn jiē diànhuà,nǐ gěi wǒ fā duǎn xìn ba!","I can’t answer the phone recently, so you can send text messages.",我明天下午要开会，要是你有事，就给我发短信。,"Wǒ míngtiān xiàwǔ yào kāihuì, yàoshi nǐ yǒu shì, jiù gěi wǒ fā duǎnxìn.","I have a meeting tomorrow afternoon. If you need me, send me text messages."
质量,zhìliàng,Noun,quality,这个包包的质量不错。,Zhègè bāobāo de zhìliàng búcuò.,The quality of this bag is not bad.,质量不错的东西会比较贵。,Zhìliàng búcuò de dōngxi huì bǐjiào guì.,High quality things are more expensive.
记,jì,Verb,"to record, to note, to memorize",上课的东西，我都会记在本子上。,"Shàngkè de dōngxi, wǒ dōu huì jì zài běnzi shàng.","What we learn in class, I take a notes on in my notebook.",我把重要的事情记在本子上。,Wǒ bǎ zhòngyào de shìqíng jì zài běnzi shàng.,I take note of important matters in my notebook.
笔记本,bǐjìběn,Noun,notebook,这是我新买的笔记本。,Zhè shì wǒ xīn mǎi de bǐjìběn.,This is a brand new notebook.,这本笔记本质量不错，我也想买。,"Zhè běn bǐjìběn zhìliàng búcuò, wǒ yě xiǎng mǎi.","The quality of this notebook is not bad, I also want to buy one."
记得,jìde,Verb,to remember,你记得今天是什么日子吗？,Nǐ jìde jīntiān shì shénme rìzi ma?,Do you remember what date is today?,我不记得我什么时候开始学开车的。,Wǒ bú jìde wǒ shénme shíhou kāishǐ xué kāichē de.,I don’t remember when I began to learn driving.
如果,rúguǒ,Conj,"if, in case",如果这个周末你有空，我们就一起出去走走吧！,"Rúguǒ zhège zhōumò nǐ yǒu kòng,women jiù yìqǐ chūqù zǒu zǒu ba!","If you have free time this weekend, let’s go out together.",如果你明天去家具店，就给我发短信吧。我也想买床。,"Rúguǒ nǐ míngtiān qù jiājù diàn, jiù gěi wǒ fā duǎnxìn ba. Wǒ yě xiǎng mǎi chuáng.","If you will go to furniture store tomorrow, text me. I also want to buy a bed."
建议,jiànyì,Noun/Verb,"to propose, to suggest, suggestion, recommendation",如果你去北京玩， 我建议你去万里长城看看。,"Rúguǒ nǐ qù Běijīng wán, wǒ jiànyì nǐ qù wànlǐ chángchéng kàn kàn.","If you travel to Beijing, I recommend that you go the Great Wall.",如果你想买质量好的床，我建议你可以多去看看。,"Rúguǒ nǐ xiǎng mǎi zhìliàng hǎo de chuáng, wǒ jiànyì nǐ kěyǐ duō qù kàn kàn.","If you want to buy a good quality bed, I suggest you should do more research."
黑板,hēibǎn,Noun,blackboard,老师写在黑板上的东西你都记在笔记本上了吗？,Lǎoshī xiě zài hēibǎn shàng de dōngxi nǐ dōu jì zài bǐjìběn shàng le ma?,Did you take a note what teacher wrote on the blackboard?,我看不到黑板上写的汉字。,Wǒ kànbúdào hēibǎn shàng xiě de hànzì.,I can’t see the Chinese character written on the blackboard.
方法,fāngfǎ,Noun,"method, way",要是你常忘了事情，你会用什么方法试着记得？,"Yàoshi nǐ cháng wàng le shìqíng, nǐ huì yòng shénme fāngfǎ shìzhe jìde?","If you forget things often, what kind of method would you use to remember?",你学习汉语的方法是什么？,Nǐ xuéxí hànyǔ de fāngfǎ shì shénme?,What ways do you use to learning Chinese?
挂,guà,Verb,to hang or suspend (from a hook etc),你知道那里挂着什么吗?,Nǐ zhīdào nàlǐ guàzhe shénme ma?,Do you know what is hanging there?,你想把画挂在哪里？,Nǐ xiǎng bǎ huà guà zài nǎlǐ?,Where do you want to hang the painting?
画,huà,Noun/Verb,"to draw, painting",你想把画挂在哪儿？我想把画挂在这儿。,Nǐ xiǎng bǎ huà guà zài nǎr? Wǒ xiǎng bǎ huà guà zài zhèr.,Where do you want to hang the painting? I want to hang the painting here.,这幅画很漂亮，你喜欢吗？,"Zhè fú huà hěn piàoliang, nǐ xǐhuān ma?","This painting is very beautiful, do you like it?"
客厅,kètīng,Noun,living room,她家的客厅很漂亮。,Tā jiā de kètīng hěn piàoliang.,Her living room is very beautiful.,他拿着水，走到客厅了。,"Tā názhe shuǐ , zǒu dào kètīng le.",He took the water and went to the living room.
窗户,chuānghù,Noun,window,我把画挂在窗户旁边。,Wǒ bǎ huà guà zài chuānghù pángbiān.,I put the painting next to the window.,把沙发搬到窗户边!,Bǎ shāfā bāndào chuānghù biān.,Move the sofa next to the window.
沙发,shāfā,Noun,sofa,可以帮我搬沙发吗？,Kěyǐ bāng wǒ bān shāfā ma?,Can you help me move the sofa?,这张沙发是你买的吗？,Zhè zhāng shāfā shì nǐ mǎi de ma?,Is that you bought this sofa?
整齐,zhěngqí,Adj,"orderly, neat, even, tidy",这样看起来整齐多了。,Zhèyàng kàn qǐlái zhěngqí duō le.,This looks much more neat.,请把杯子放整齐。,Qǐng bǎ bēizi fàng zhěngqí.,Please put her cup tidily.
灯,dēng,Noun,"lamp, light, lantern",把画挂在灯下面。,Bǎ huà guàzài dēng xiàmiàn.,Put the painting under the light.,这个灯坏了，怎么办？,"Zhège dēng huài le, zěnmebàn?","The lamp is broken, what could we do?"
椅子,yǐzi,Noun,chair,帮我搬张椅子吧 ! 我拿太多东西了。,Bāng wǒ bān zhāng yǐzi ba! Wǒ ná tàiduō dōngxi le.,Help me move a chair! I took too many things.,这张椅子坏了，把它搬出去。,"Zhè zhāng yǐzi huài le, bǎ tā bān chūqù.","The chair is broken, take it out."
放,fàng,Verb,"to put, to place",我忘了我把刚刚买的衣服放在哪儿了！,Wǒ wàngle wǒ bǎ gānggāng mǎi de yīfu fàng zài nǎr le!,I forget where I put the clothes I just bought.,我放了一个蛋糕在厨房的桌子上。要是你饿了，可以拿去吃。,"Wǒ fàng le yígè dàngāo zài chúfáng de zhuōzi shàng. Yàoshi nǐ è le, kěyǐ ná qù chī.","I put a cake on the table in the kitchen. If you are hungry, you can have it."
鱼,yú,Noun,fish,冰箱里的鱼是什么时候买的？,Bīngxiāng lǐ de yú shì shénme shíhou mǎi de?,When did you buy the fish in the fridge?,他拿了几条鱼给他的猫吃。,Tā nále jǐ tiáo yú gěi tā de māo chī.,He takes some fish to feed his cat.
虾,xiā,Noun,"shrimp, prawn",这些虾好大一只，一定不便宜！,"Zhèxiē xiā hǎo dà yìzhǐ, yídìng bù piányi!","These shrimps are so big, they must be expensive!",请你把这些虾放进锅子里。,Qǐng nǐ bǎ zhèxiē xiā fàng jìn guōzi lǐ.,Please put these shrimps into the pot.
煮,zhǔ,Verb,"to cook, to boil",这道菜真好吃！请问是怎么煮的？,Zhè dào cài zhēn hǎo chī! Qǐngwèn shì zěnme zhǔ de?,This dish tastes so good! May I ask how to cook it?,因为妈妈生病了，所以今天晚上我煮晚餐。,"Yīnwèi māma shēngbìng le, suǒyǐ jīntiān wǎnshàng wǒ zhǔ wǎncān.","My mother is sick, so I will cook dinner tonight."
牛肉,niúròu,Noun,beef,"听说这家饭馆的牛肉煮得很好吃,所以很多人排队！","Tīngshuō zhè jiā fànguǎn de niúròu zhǔ de hěn hǎo chī, suǒyǐ hěn duō rén páiduì!","People say that the beef in this restaurant tastes great, that's why so many people are lining up!",今天晚餐吃牛肉，怎么样？,"Jīntiān wǎncān chī niúròu, zěnmeyàng?","Let’s have beef for dinner tonight, shall we?"
羊肉,yángròu,Noun,"mutton, lamb meat",你运动完后，可以帮我去超市买羊肉吗？,"Nǐ yùndòng wán hòu, kěyǐ bāng wǒ qù chāoshì mǎi yángròu ma?",Can you help me buy lamb at the supermarket after you're done exercising?,今天好冷，晚上我们来吃羊肉火锅吧！,"Jīntiān hǎo lěng, wǎnshàng wǒmen lái chī yángròu huǒguō ba!","Today is so cold, let’s have lamb hot pot tonight!"
做法,zuòfǎ,Noun,"way of handling something, method for making, work method, recipe,",这苹果派的做法不难，你可以上网找找。,"Zhè píngguǒ pài de zuòfǎ bù nán, nǐ kěyǐ shàngwǎng zhǎo zhǎo.","The way of making this apple pie is not difficult, you can find it on the Internet.",你记得这道菜的做法是什么吗？,Nǐ jìde zhè dào cài de zuòfǎ shì shénme ma?,Do you remember the recipe for this dish?
桌,zhuō,Measure word,measure word for tables of guests at a banquet etc,去年新年我们家煮了一桌好吃的菜！,Qùnián xīnnián wǒmen jiā zhǔ le yì zhuō hǎochī de cài!,Last new year we cooked a whole table of good dishes!,你们昨天晚上做了什么？怎么有一桌的垃圾？,Nǐmen zuótiān wǎnshàng zuò le shénme? Zěnme yǒu yìzhuō de lājī?,What did you do last night? Why is there a table full of trash?
